vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
truck4208,27025.0,,105.0,False,False
bike3524,27025.0,,21.0,False,False
veh16229,27030.0,,140.0,False,False
veh16234,27035.0,,295.0,True,False
veh16239,27040.0,,477.0,False,False
truck4213,27040.0,,807.0,False,False
veh16249,27050.0,,70.0,False,False
bike3531,27050.0,,27.0,False,False
veh16254,27055.0,27575.0,167.0,False,False
truck4218,27055.0,,49.0,False,False
veh16259,27060.0,,270.0,False,False
veh16264,27065.0,,0.0,False,False
veh16269,27070.0,,120.0,False,False
truck4223,27070.0,,185.0,False,False
veh16274,27075.0,27530.0,37.0,False,False
veh16279,27080.0,,250.0,False,False
veh16284,27085.0,,69.0,False,False
truck4228,27085.0,27955.0,382.0,False,False
veh16289,27090.0,,202.0,False,False
veh16294,27095.0,,110.0,False,False
veh16299,27100.0,,335.0,True,False
truck4233,27100.0,,96.0,True,False
bike3545,27100.0,,131.0,False,False
veh16304,27105.0,,403.0,True,False
veh16309,27110.0,,502.0,False,False
veh16314,27115.0,,507.0,False,False
truck4238,27115.0,,140.0,True,False
veh16319,27120.0,,103.0,False,False
veh16324,27125.0,,273.0,True,False
bike3552,27125.0,,78.0,False,False
veh16329,27130.0,,343.0,False,False
veh16334,27135.0,28480.0,707.0,True,False
veh16344,27145.0,,672.0,False,False
truck4248,27145.0,,64.0,False,False
moto254,27145.0,,624.0,False,False
veh16349,27150.0,,88.0,True,False
bike3559,27150.0,,196.0,False,False
veh16354,27155.0,,258.0,False,False
veh16364,27165.0,28635.0,764.0,False,False
veh16369,27170.0,,50.0,False,False
veh16374,27175.0,,332.0,False,False
bike3566,27175.0,,334.0,False,False
veh16379,27180.0,,158.0,False,False
veh16383,27185.0,,792.0,False,False
veh16384,27185.0,27745.0,117.0,False,False
veh16389,27190.0,28810.0,677.0,True,False
truck4263,27190.0,,177.0,False,False
bike3570,27190.0,27545.0,53.0,False,False
veh16394,27195.0,,268.0,False,False
veh16399,27200.0,,155.0,False,False
veh16404,27205.0,,208.0,False,False
truck4268,27205.0,27850.0,42.0,False,False
veh16409,27210.0,28545.0,562.0,False,False
truck4240,27215.0,,101.0,False,False
veh16414,27215.0,27385.0,40.0,False,False
bike3577,27215.0,,127.0,False,False
veh16419,27220.0,,442.0,False,False
truck4273,27220.0,,814.0,False,False
veh16424,27225.0,,124.0,False,False
bike3580,27225.0,,108.0,False,False
veh16429,27230.0,,24.0,False,False
veh16434,27235.0,,91.0,False,False
veh16439,27240.0,,178.0,False,False
bike3584,27240.0,,115.0,False,False
veh16444,27245.0,,402.0,False,False
veh16449,27250.0,,76.0,False,False
truck4283,27250.0,,454.0,False,False
bike3587,27250.0,,65.0,False,False
veh16454,27255.0,,421.0,False,False
veh16459,27260.0,27890.0,93.0,False,False
veh16464,27265.0,,759.0,False,False
truck4288,27265.0,,519.0,False,False
veh16469,27270.0,28155.0,517.0,False,False
veh16479,27280.0,27750.0,99.0,False,False
truck4293,27280.0,,383.0,False,False
veh16484,27285.0,,76.0,False,False
veh16489,27290.0,,35.0,False,False
bike3598,27290.0,,133.0,False,False
