vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle
bike3577,27215.0,,698.0,False
veh16419,27220.0,,307.0,False
truck4273,27220.0,,728.0,False
veh16424,27225.0,,189.0,False
bike3580,27225.0,,672.0,False
veh16429,27230.0,,37.0,False
veh16431,27235.0,,440.0,False
veh16434,27235.0,28375.0,375.0,False
truck4278,27235.0,,111.0,False
veh16439,27240.0,,80.0,False
bike3584,27240.0,,113.0,False
veh16444,27245.0,28595.0,435.0,False
veh16449,27250.0,,92.0,False
truck4283,27250.0,,542.0,False
bike3587,27250.0,,335.0,False
veh16454,27255.0,,456.0,False
veh16459,27260.0,,44.0,False
veh16464,27265.0,,780.0,False
truck4288,27265.0,,374.0,False
veh16474,27275.0,,19.0,False
veh16479,27280.0,,103.0,False
truck4293,27280.0,,493.0,False
veh15803,27285.0,,269.0,True
veh16484,27285.0,,80.0,False
veh16489,27290.0,,69.0,False
bike3598,27290.0,,198.0,False
veh16494,27295.0,28615.0,816.0,True
truck4298,27295.0,,163.0,False
veh16499,27300.0,,32.0,False
veh16504,27305.0,,697.0,False
veh16509,27310.0,28320.0,534.0,False
truck4303,27310.0,,69.0,False
veh16514,27315.0,,181.0,False
bike3605,27315.0,,309.0,False
truck4305,27320.0,,183.0,False
veh16519,27320.0,,419.0,False
veh16524,27325.0,27830.0,50.0,False
truck4308,27325.0,,249.0,True
moto259,27325.0,31425.0,465.0,True
truck4311,27335.0,,382.0,False
veh16534,27335.0,,325.0,False
veh16539,27340.0,,126.0,False
truck4313,27340.0,,487.0,False
bike3612,27340.0,,246.0,False
veh16544,27345.0,28170.0,315.0,False
veh16547,27350.0,,694.0,True
veh16549,27350.0,,161.0,False
veh16554,27355.0,,840.0,True
truck4318,27355.0,,525.0,False
veh16559,27360.0,,309.0,False
veh16564,27365.0,,7.0,False
bike3619,27365.0,,166.0,False
veh16569,27370.0,27705.0,57.0,False
truck4323,27370.0,,17.0,False
veh16574,27375.0,,370.0,False
veh16579,27380.0,30395.0,566.0,True
veh16584,27385.0,,669.0,False
truck4328,27385.0,,80.0,False
veh16589,27390.0,,528.0,False
veh16594,27395.0,,424.0,False
veh16599,27400.0,,84.0,False
truck4333,27400.0,29675.0,753.0,True
veh16609,27410.0,,69.0,False
veh16577,27415.0,,698.0,True
bike3633,27415.0,,246.0,False
veh16614,27415.0,,852.0,True
truck4338,27415.0,,186.0,False
veh16619,27420.0,,592.0,False
veh16624,27425.0,,419.0,False
veh16629,27430.0,,526.0,True
truck4343,27430.0,,469.0,False
bike3637,27430.0,,14.0,True
veh16634,27435.0,,359.0,False
veh16639,27440.0,,309.0,False
bike3640,27440.0,,134.0,False
veh16644,27445.0,,534.0,False
truck4348,27445.0,,624.0,True
veh16649,27450.0,,3.0,False
veh16654,27455.0,,323.0,True
truck4353,27460.0,,475.0,False
veh16664,27465.0,27905.0,210.0,False
bike3647,27465.0,,295.0,False
veh16669,27470.0,,496.0,False
veh16674,27475.0,27965.0,260.0,False
truck4358,27475.0,,129.0,False
veh16679,27480.0,,228.0,False
bike3651,27480.0,,75.0,False
veh16694,27495.0,29845.0,644.0,True
